customer_id,first_name,last_name,email,phone,city,country,signup_date,membership_type,birth_date
71,Randy,Collins,randy.collins436@gmail.com,N/A,Michaelberg,Egypt,06/12/2023,Silver,09/29/1964
72,Dwayne,Gonzalez,dwayne.gonzalez631@yahoo.com,+962-7-127-7997,Michellemouth,KSA,24-12-2024,regular,18-08-1959
73,Carlos,Ramos,carlos.ramos422@gmail.com,0749058147,Johnsonstad,U.A.E.,13 Oct 2023,silver ,"June 21, 2000"
74, Chase ,Lin,chase.lin768@hotmail.com,0799867980,Stoutshire,UAE,2025/12/28,None,1989/09/06
75,Marc,Alvarez,marc.alvarez275@hotmail.com,+962-7-071-5182,East Jasminemouth,Jordan,2023-03-05,Silver,05 Jan 1982
76,Chelsea,Cox,chelsea.cox706@yahoo.com,N/A,Codyfurt,jordan,2026/03/30,-,15-08-1967
77,  Jennifer,Douglas  ,JENNIFER.DOUGLAS532@OUTLOOK.COM,+962 7 251 9254,Andersonland,Saudi Arabia,2026/03/13,Silver,22-02-1969
78,Nicholas,Conner,-,0781685054,East Matthew,Hashemite Kingdom of Jordan,"October 28, 2025",None,1996-07-16
79,James,Cooke,james.cooke811@yahoo.com,0741888059,New Nicholas,Jordan,11 Mar 2023,regular,"April 21, 1960"
80, Marie ,Wise,marie.wise116@yahoo.com,+962-7-270-6537,Karenmouth,KSA,22/10/2025,silver ,1964/08/11
81,John  ,SHEPPARD,john.sheppard972@outlook.com,NaN,Burchborough,U.A.E.,15-09-2025,Silver,"August 24, 1998"
82,Devon,Wright,devon.wright666@gmail.com,none,West Shannon,UK,18-02-2025,Gold,
83,Mariah,Davis,mariah.davis171@hotmail.com,0775060685,South Virginia,jordan,"March 19, 2026",Silver,"January 24, 1973"
84, Anthony ,Galvan,anthony.galvan792@gmail.com,,Gilbertland,uae,05-12-2025,silver ,09/17/1951
85,Jason,Hernandez,jason.hernandez330@yahoo.com,0798614341,East Robertmouth,Egypt,05/01/2026,Platinum,1954-05-04
86,Mary,Porter,mary.porter567outlook.com,+962-7-893-2460,Johnchester,Hashemite Kingdom of Jordan,18 Sep 2024,Platinum,"October 22, 1961"
87,elizabeth,Mills,-,0788888067,Lake Paulstad,JORDAN,05/01/2024,None,10/15/1965
88,Allen,Kramer,allen.kramer382@outlook.com,NaN,Port Kimberly,JORDAN,12/13/2023,regular,13-06-1978
89,Heather,Welch,heather.welch967@yahoo.com,(071) 7043030,Sarahhaven,JO,25-10-2025,Platinum,19/06/1974
90,Lisa,Kennedy,lisa.kennedy42@yahoo.com,0734505415,PRESTONMOUTH,JORDAN,2022-09-19,silver ,"March 31, 2004"
91,Paul, Beltran ,paul.beltran228@yahoo.com,NaN,Morrisonburgh,Jordan,2024-07-21,Silver,1983/04/20
92,Manuel,Miller  ,manuel.miller173@outlook.com,0747962757,Lake Mollystad,JORDAN,19-03-2025,regular,NaN
93,Ryan,Fowler,ryan.fowler90@hotmail.com,+962-7-016-5820,Port Cathy,UAE,26/09/2025,GOLD,13 Jun 1997
94,Austin,Jones,austin.jones225@gmail.com,0755690927,Nathanland,U.S.A.,09/07/2025,Silver,01/02/1985
95, Alyssa ,Sanders,alyssa.sanders817@outlook.com,+96273102786,West Kimberlymouth,egypt,2025-03-03,GOLD,NULL
96,Cheryl,Benson,invalid_email,+962 7 312 1727,Port Evelynmouth,Egypt,25 Jul 2026,NULL,"August 22, 1990"
97,Jenna, Pierce ,jenna.pierce679@outlook.com,0742258313,East Kristy,Hashemite Kingdom of Jordan,2023/09/25,GOLD,"February 24, 1952"
98,Angela,Wood,angela.wood315@hotmail.com,+962-7-829-1146,Foxchester,united states,2025-10-14,Gold,21 Dec 1999
99,Charles,Compton,charles.compton244@hotmail.com,+96277785289,Port Tammy,JORDAN,2025/02/20,Silver,
100,Renee,Brown,renee.brown903@outlook.com,+962-7-242-2535,Meghanview,JORDAN,01/25/2023,,N/A
101,STEPHANIE,Hill,stephanie.hill920@gmail.com,+962-7-981-8299,East Donna,uk,01/26/2025,Regular,10/22/1993
102,Cassie,Kirby,cassie.kirby305@yahoo.com,+962-7-010-9439,Montgomerytown,jordan,28 Oct 2024,None,1980-06-14
103,Courtney,Roberts,courtney.roberts483@outlook.com,+96277364710,South Robert,uae,2026-05-25,regular,09-06-1978
104,Matthew,thomas,matthew.thomas995@yahoo.com,(+96) 2-7-556-2588,West Johnville,jordan,2026-01-06,silver ,NaN
105,John, Davis ,john.davis178@yahoo.com,(076) 9632595,Port Erik,U.S.A.,24 Sep 2023,regular,2010/04/30
106,Steven,Koch,steven.koch470@gmail.com,(+96) 2-7-168-7339,Brandonport,JO,23 Jul 2024,Silver,"April 06, 1980"
107,Nicole,Pena,nicole.pena671@outlook.com,N/A,Brandonton,Saudi Arabia,2024/06/14,None,N/A
108,James,Tran,james.tran234@yahoo.com,(+96) 2-7-878-4991,north phillip,Hashemite Kingdom of Jordan,2022/11/12,None,07 Apr 1998
109, Matthew ,Mcmillan,matthew.mcmillan537@gmail.com,0739868000,Lake Mason,JORDAN,04-08-2025,GOLD,"December 30, 1978"
110,Stephen,Obrien,stephen.obrien984@outlook.com,0759526949,Williamhaven,United States,2024-08-19,NaN,06 Jul 1982
111,Jeanne,Evans,jeanne.evans21@gmail.com,0755169409,Bakershire,EGYPT,2025/10/31,regular,24/03/1985
112,Jennifer,Silva,JENNIFER.SILVA599@GMAIL.COM,+962-7-962-3091,North Scott,United Arab Emirates,2023/04/03,GOLD,12-09-1975
113,Robert,Harris,robert.harris59@outlook.com,+962-7-970-2838,Whitneyfort,uk,30/07/2024,silver ,"February 05, 1982"
114,Lee,Thompson,lee.thompson804@outlook.com,+962-7-585-4973,West Angela,U.A.E.,21-03-2026,Silver,1964/01/23
115,Teresa,Evans,teresa.evans92@yahoo.com,0737575844,New Ericafurt,EGYPT,23/09/2023,Silver,25 Apr 2004
116,Ralph, Reed ,ralph.reed543@hotmail.com,0724041574,Lewisside,uae,08/30/2025,GOLD,11/02/1966
117,Anna,  Nelson,anna.nelson780@yahoo.com,+962-7-933-0833,North Robertfort,uae,03/01/2023,silver ,NaN
118,  Kelli,Smith,kelli.smith693@gmail.com,+962 7 267 7345,Debbieland,jordan,10/09/2024,Silver,16-09-1989
119,Jesse,Rodgers,jesse.rodgers138@hotmail.com,NULL,Lake Suzanne,U.A.E.,12/21/2025,Regular,-
120,Nancy, Smith ,-,0715478872,Nelsonville,KSA,11/03/2024,Regular,NaN
121, Jessica ,Wong,jessica.wong121@hotmail.com,0705493296,Robertsonland,jordan,2025/06/11,silver ,1974-08-15
122,Cody,  Holden,cody.holden114@outlook.com,+962-7-304-6374,Kevinshire,U.S.A.,24/06/2024,regular,NULL
123,Desiree,Schwartz,desiree.schwartz119@gmail.com,0717426841,Michaelbury,egypt,26-10-2022,Silver,20-09-1963
124,Dennis,Hernandez,dennis.hernandez820@outlook.com,NULL,New Seanstad,JO,24/07/2025,None,04/04/1955
125,Anne,Brown,anne.brown495@outlook.com,-,Wilsonborough,U.A.E.,2024/10/05,GOLD,1993/08/02
126,Tracy,Nolan,tracy.nolan395@yahoo.com,+962 7 072 8679,New Stevenport,Hashemite Kingdom of Jordan,08 May 2024,none,19-12-1993
127,RANDY,Velasquez,randy.velasquez471@outlook.com,+962-7-910-6518,North Valeriefort,UK,2025-07-21,silver ,"June 22, 1952"
128,Robert,Mack,robert.mack576@yahoo.com,0765676618,Lake Michelle,EGYPT,"August 19, 2025",None,08-09-1957
129,Victoria,Long,victoria.long988@hotmail.com,0730047868,Morrowbury,Hashemite Kingdom of Jordan,2023-01-30,regular,none
130,Eric,Lopez,eric.lopez48@gmail.com,+962-7-106-9033,North Brittneymouth,JO,2026/01/26,Regular,09/06/1986
131,Jacqueline,Williams,jacqueline.williams749@yahoo.com,(+96) 2-7-673-8302,Jimshire,U.A.E.,13-07-2025,silver ,14-09-1969
132,Carla,Chambers,carla.chambers719@hotmail.com,+96274283644,New Stacyburgh,JORDAN,2023/11/08,Gold,1988/02/17
133,Ronald,Simpson,ronald.simpson728@outlook.com,+962-7-685-6624,WHITESIDE,Kingdom of Saudi Arabia,06/17/2026,Regular,12/25/1978
134,Melissa, Turner ,melissa.turner209@gmail.com,+962-7-708-6688,South John,Kingdom of Saudi Arabia,05/26/2025,regular,1962-10-09
135,Deborah,Nielsen,deborah.nielsen14@hotmail.com,+962 7 183 0469,Port Charlesshire,jordan,16 Dec 2025,Platinum,01/11/1994
136,Angelica,Mendoza,angelica.mendoza387@gmail.com,0754033173,South Rose,JORDAN,2026-01-18,Gold,-
137,Kimberly,James,kimberly.james803@hotmail.com,+962-7-544-5877,Port Tinafort,uae,2024-09-14,GOLD,04/08/1996
138,Luke,Harris,luke.harris575@gmail.com,0709320489,Phillipsborough,Jordan,2023/10/28,GOLD,12 May 1970
139,Noah,Whitaker,noah.whitaker384@outlook.com,+962-7-547-7725,East Jennifer,JO,"July 26, 2024",Regular,11/14/1979
140,Sabrina,Weaver,sabrina.weaver720@outlook.com,(+96) 2-7-080-1006,PORT CRYSTAL,KSA,19 Feb 2025,regular,"August 25, 1954"
141,Edward,Robinson,edward.robinson399@gmail.com,+962-7-099-7700,Smithhaven,USA,24-05-2024,Silver,1993/11/25
142,Amanda,Mitchell,amanda.mitchell486@yahoo.com,0762118233,Lisaview,JORDAN,30-07-2024,GOLD,1998-04-08
143,Christian  ,Chung,christian.chung313@yahoo.com,0733410166,Tranton,United Arab Emirates,05/28/2024,Silver,10 Oct 1988
144,Jacqueline,Miller,jacqueline.miller75@hotmail.com,0759180339,Nelsonland,JORDAN,2025-12-14,regular,08/21/1991
145,Juan,Daniels,juan.daniels374@hotmail.com,0725039261,Franciscobury,United Arab Emirates,15 Mar 2025,GOLD,1984/07/28
146,Melissa,Rhodes  ,melissa.rhodes84@hotmail.com,+962-7-621-8501,Hallland,UAE,24 Sep 2024,silver ,01/03/1971
147,Kayla,Friedman,kayla.friedman375@outlook.com,(+96) 2-7-504-7735,reynoldsshire,UAE,2024/02/27,Platinum,18 Mar 1990
148,  Christopher,Montgomery,christopher.montgomery894@yahoo.com,(071) 1426265,Danieltown,KSA,2025-10-05,Platinum,23 Feb 2007
149, Sean ,Juarez,sean.juarez534@hotmail.com,(+96) 2-7-126-7888,Garcialand,UAE,"December 24, 2022",regular,10/22/1971
150,Christopher,George,christopher.george514@yahoo.com,+962 7 604 6618,New Adriana,Jordan,2023/11/13,Platinum,09-09-1991
151,Gavin,Adams,invalid_email,0721264647,West Johnathanbury,U.A.E.,24-08-2023,Gold,28/10/1993
152,Tyler,Jensen  ,tyler.jensen483@outlook.com,+962-7-240-6596,Scottchester,United Arab Emirates,05/26/2024,GOLD,"July 02, 1999"
153,  Michele,Mccann,michele.mccann430@yahoo.com,+962-7-593-7526,Kellyfort,Jordan,2023-02-11,None,"August 20, 2008"
154,Kimberly,Nguyen,kimberly.nguyen896@gmail.com,(+96) 2-7-651-9398,Lake Katrina,JO,2023-09-10,silver ,08/03/1952
155,jessica, Hahn ,jessica.hahn8@gmail.com,0741672434,Lake Rodney,US,2023/05/30,regular,"March 10, 1973"
156,Shane,Harper,shane.harper803@outlook.com,0788680589,North Kaylastad,Hashemite Kingdom of Jordan,2024/11/24,Gold,NULL
157,Cheyenne,Hart,cheyenne.hart347@gmail.com,0765610143,South Neil,Jordan,2025-02-24,regular,1978-05-10
158,Erin,Vaughn,erin.vaughn987@gmail.com,+962 7 071 4611,West Larry,saudi arabia,03/05/2023,Regular,"November 21, 1977"
159,  Jamie,WEBB,jamie.webb799@outlook.com,+962-7-775-1401,PORT MATTHEWVILLE,jordan,2024/06/22,GOLD,14 Mar 1991
160,Frank,Riggs,frank.riggs417@gmail.com,0728258673,Sotoburgh,United Arab Emirates,2023/07/19,None,"December 31, 1988"
161,Ryan,Johnson,ryan.johnson883@gmail.com,0737966033,Karenland,jordan,10/01/2025,GOLD,1985-03-18
162,Lauren,Herrera,lauren.herrera568@yahoo.com,+962 7 371 4785,Carrshire,JORDAN,13 Jan 2024,regular,06/04/1957
163,Michael, Ellis ,michael.ellis505@gmail.com,0749912513,Darylstad,egypt,06 Apr 2023,regular,05 Mar 1992
164,William,Barnes,william.barnes554@gmail.com,+962-7-662-7828,South Keith,Jordan,2023-02-14,Platinum,1961-10-18
165,Megan,Harvey,megan.harvey628@hotmail.com,0707236887,Cohenchester,United Arab Emirates,12/01/2026,Gold,"March 06, 1993"
166,Scott,Jackson,scott.jackson201@yahoo.com,(073) 4043842,Cunninghamfort,egypt,"October 31, 2024",GOLD,22-07-1983
167,DANIEL,Wilson,daniel.wilson860@gmail.com,0758078361,West Nancy,Egypt,02/09/2025,Silver,1952/07/03
168,Jose,Atkins,jose.atkins364@hotmail.com,+962-7-133-9596,New Donald,JORDAN,02 Dec 2022,Gold,20-12-1962
169,Jamie,brown,jamie.brown669@hotmail.com,0749825449,Stephaniehaven,uae,22/12/2023,Gold,NULL
170,Erin,  DAVIS,none,+962-7-604-2232,Mariafurt,Saudi Arabia,2026/06/03,silver ,12/09/1979
171,Barbara,Adams  ,barbara.adams938@hotmail.com,+962-7-711-6845,Clementsmouth,JO,03/24/2024,None,1985/06/27
172,Misty,Boone,misty.boone233@gmail.com,0775186363,Adamsport,JORDAN,11-12-2022,regular,1970-11-01
173,Becky,Knight,becky.knight612@yahoo.com,0750017012,Bryantchester,uae,06 Jul 2024,silver ,1962-09-16
174,Haley,Anderson,haley.anderson292@hotmail.com,(072) 4154152,South Conniebury,JO,03/03/2025,Platinum,NaN
175,Christopher,Davis,NULL,(071) 2938700,Lisachester,Jordan,04-06-2023,Silver,none
176,Tim,Perez,tim.perez849@gmail.com,0711554262,North Alyssa,Jordan,12/05/2022,None,1951-01-29
177,Debra,Alexander,debra.alexander645@gmail.com,0726973112,New Jessicastad,United Kingdom,2025-06-17,Platinum,N/A
178,Leonard,Taylor,leonard.taylor708@outlook.com,NaN,Port Melanieport,UAE,2023-09-05,GOLD,1962/11/24
179,Catherine,Lopez,none,0703761379,New Pamelatown,jordan,"February 20, 2024",None,10/13/2009
180,Sarah,Anderson,sarah.anderson165@gmail.com,+962-7-965-8271,New Carlosview,JO,05/01/2026,Gold,"July 08, 1963"
181,Sandra,Fry,sandra.fry397@yahoo.com,+962-7-486-6618,West Christopher,Saudi Arabia,2024-02-29,NULL,04/24/1955
182,Samantha  ,Mccann,samantha.mccann539hotmail.com,0756914630,North Sandy,Jordan,12/03/2023,Regular,1957/07/12
183,Cheryl,Brown,cheryl.brown42@gmail.com,0721020275,Garyberg,Hashemite Kingdom of Jordan,03/27/2025,Platinum,07/23/1995
184,Morgan,Quinn,morgan.quinn591@hotmail.com,0705648149,South Spencerstad,usa,01/16/2023,None,23-11-1953
185,Michele,Jackson,michele.jackson332@yahoo.com,+962-7-191-3800,East Brandonstad,uk,14/03/2023,Regular,19-07-1973
186,Edward,Velazquez,EDWARD.VELAZQUEZ877@HOTMAIL.COM,+962-7-863-5365,margaretshire,U.A.E.,12/31/2025,regular,"December 09, 1972"
187,Wayne,Winters,wayne.winters80@hotmail.com,+962-7-806-1744,Christophermouth,JO,2023/04/16,NaN,
188,James,Elliott,james.elliott124@yahoo.com,+962-7-937-5973,east adam,United States,"October 15, 2023",Gold,1975/03/04
189,Jesse,Reed,jesse.reed517@gmail.com,0705064138,South Travis,JO,05/12/2025,regular,"March 01, 1954"
190,Wendy,Dawson,wendy.dawson586@yahoo.com,+96273865719,New Dennisfurt,Saudi Arabia,2022-12-10,silver ,22-01-1955
191,Ashley,Graham,ashley.graham842@outlook.com,+96273445655,Nelsonland,Jordan,2026-06-05,Regular,"March 09, 2007"
192, Derek ,Carrillo,derek.carrillo24@hotmail.com,0712775618,Tamiborough,egypt,01/03/2023,Regular,1977/09/07
193,STEVEN,Phelps,STEVEN.PHELPS968@GMAIL.COM,-,West Randy,Hashemite Kingdom of Jordan,"December 07, 2022",Silver,04/07/1953
194,Kent,Wilkins,kent.wilkins23@gmail.com,-,North Alexander,United Arab Emirates,04/08/2023,regular,2000/05/23
195,Toni,Anderson,toni.anderson231@yahoo.com,0751994101,Lake Scott,JORDAN,12/11/2025,Platinum,19/04/1958
196,Rebecca,Calderon  ,rebecca.calderon820@yahoo.com,+962-7-070-2966,Johnsonchester,U.S.A.,2023/11/24,Gold,"December 09, 1960"
197,Jason,  Lopez,jason.lopez997@outlook.com,+962-7-209-9934,Jenkinsside,KSA,09 Sep 2023,Platinum,NaN
198,Christopher,Reyes,christopher.reyes27@hotmail.com ,+96278380657,Coopershire,uae,03/31/2024,Gold,1980-09-17
199,Paul,White,paul.white208@yahoo.com ,(073) 0407859,East Craig,UK,"November 05, 2023",silver ,25/12/1989
200,Joseph,Velasquez,joseph.velasquez534@gmail.com,0703965223,Lindastad,Saudi Arabia,"March 29, 2026",silver ,2005/05/29
201,Anthony,Haynes,anthony.haynes171@outlook.com,+962-7-929-3784,South Benjamin,Jordan,2026/05/12,Silver,"December 09, 1953"
202,Carolyn,Smith,carolyn.smith605@yahoo.com,0759325250,East Brendaberg,Saudi Arabia,2024-06-25,Silver,1997/01/12
203,Meghan,Valencia,meghan.valencia388outlook.com,+962-7-569-1545,East Jessica,U.A.E.,31 May 2026,Regular,12-10-1976
204,Danielle,Freeman,danielle.freeman4@hotmail.com ,(+96) 2-7-895-3926,Jessicaport,uk,03/11/2023,silver ,"March 18, 1958"
205,Jessica,Rush,jessica.rush51@yahoo.com,0769029593,South Donaldland,jordan,14-05-2026,none,11/06/1964
206,Toni,Jackson,toni.jackson990@outlook.com,0715704331,Jonathanville,Jordan,10 Feb 2026,silver ,1993-10-17
207,Brandon,Kim,brandon.kim713@yahoo.com,+962-7-267-6586,Port Timothyshire,JO,01 Apr 2024,regular,17 Aug 1989
208,Gloria,Martin,gloria.martin533@outlook.com,+962-7-040-5411,GEORGEFURT,UAE,2022/11/12,Platinum,23/03/1960
209,Charles,MCMAHON,charles.mcmahon810@gmail.com,0759970629,Mooreville,JO,2026-06-25,Gold,08 Jun 1970
210,Terri,Ortiz,terri.ortiz643@outlook.com,0784443106,Hernandezstad,saudi arabia,"October 14, 2024",GOLD,1950-10-19
211,Christopher,Colon,christopher.colon288@gmail.com,(+96) 2-7-731-0324,South Meganport,saudi arabia,2025/01/26,GOLD,30-08-1997
212,Thomas,Jacobson,thomas.jacobson310@yahoo.com,+962-7-862-5652,williamsmouth,U.A.E.,08/19/2023,GOLD,1978/06/22
213,Jeremy,Adams,jeremy.adams136@yahoo.com,,Port Paulhaven,JO,26 Oct 2022,Silver,-
